feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
enhanced,zscore,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.527917723924716,3,0.31715929576644003,0.07305643813302765,C1=0.647|C2=0.681|C3=0.743|C4=0.731,0,1
enhanced,zscore,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.197768124318602,3,0.24088543328176518,0.07969085620863701,C1=0.442|C2=0.415|C3=0.357|C4=0.336,0,1
enhanced,zscore,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,9.536187527060598,3,0.022949485828668462,0.12011207277293272,C1=0.468|C2=0.557|C3=0.643|C4=0.613,1,1
enhanced,zscore,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,7.706730390361432,3,0.052477949496584055,0.10797776981921214,C1=0.553|C2=0.624|C3=0.714|C4=0.672,0,1
enhanced,zscore,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,61.16155286247829,3,3.319335530153726e-13,0.08852595565065188,C1=3.937|C2=3.922|C3=3.729|C4=2.933,1,0
enhanced,zscore,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,46.337523623186776,3,4.807589287403283e-10,0.06596274524077135,C1=3.989|C2=3.872|C3=3.700|C4=3.034,1,0
enhanced,zscore,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,8.270311950357321,3,0.04074334094915608,0.1943295693106968,C1=0.448|C2=0.623|C3=0.471|C4=0.676,1,1
enhanced,zscore,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,1.1283857358225957,3,0.7702264475924011,0.07178054250488052,C1=0.365|C2=0.377|C3=0.353|C4=0.459,0,1
enhanced,zscore,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,3.8694578666289985,3,0.2759097295444714,0.13292387814786166,C1=0.250|C2=0.391|C3=0.353|C4=0.324,0,1
enhanced,zscore,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,34.882361439254474,3,1.2899971586001767e-07,0.14829005320583477,C1=3.917|C2=3.971|C3=3.941|C4=2.649,1,0
enhanced,zscore,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,21.905080039755706,3,6.82658059668279e-05,0.08793060483607305,C1=3.896|C2=3.870|C3=3.529|C4=2.946,1,0
enhanced,robust,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,64.64152424758431,1,8.984192590439486e-16,0.0724846517626245,C1=3.038|C2=3.905,1,1
enhanced,robust,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,55.09676896658845,1,1.1473936654232683e-13,0.061613632080396864,C1=3.082|C2=3.895,1,1
enhanced,robust,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.1997342653826077,1,0.07365023614536843,0.06957548242005057,C1=0.748|C2=0.670,0,1
enhanced,robust,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.127119989530764,1,0.04220111360978703,0.07901741501236072,C1=0.329|C2=0.423,1,1
enhanced,robust,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,4.566570611026154,1,0.03260176723802356,0.08311786111691495,C1=0.629|C2=0.529,1,1
enhanced,robust,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,3.8590859414800995,1,0.04947727639170404,0.07640846858713182,C1=0.692|C2=0.602,1,1
enhanced,robust,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,45.310345060905114,1,1.6815854366349735e-11,0.06723876337011399,C1=3.084|C2=3.905,1,0
