row_index,included_runs,consistency_rate
138,77,0.9090909090909091
139,88,1.0
140,85,1.0
141,87,1.0
142,87,1.0
143,88,1.0
144,88,1.0
145,79,0.8987341772151899
146,84,0.7976190476190477
147,84,0.9285714285714286
148,87,1.0
149,86,1.0
150,75,1.0
151,81,1.0
152,83,1.0
153,87,1.0
154,78,1.0
155,90,1.0
156,84,1.0
157,82,1.0
158,81,1.0
159,78,0.782051282051282
160,83,1.0
161,83,1.0
162,82,1.0
163,88,1.0
164,84,1.0
165,81,1.0
166,90,1.0
167,83,0.9036144578313253
168,77,1.0
169,86,1.0
170,86,1.0
171,79,1.0
172,83,1.0
173,93,1.0
174,89,1.0
175,83,0.9156626506024096
176,94,1.0
177,82,0.8048780487804879
178,84,0.9404761904761905
179,75,1.0
180,92,1.0
181,81,0.9259259259259259
182,82,1.0
183,88,0.9090909090909091
184,91,1.0
185,78,1.0
186,87,0.8850574712643678
187,89,1.0
188,84,0.7976190476190477
189,88,0.875
190,79,0.7848101265822784
191,88,1.0
192,90,1.0
193,83,1.0
194,95,1.0
195,91,1.0
196,82,0.8170731707317073
197,85,1.0
198,88,1.0
199,94,1.0
200,86,1.0
201,84,1.0
202,81,1.0
203,83,0.8554216867469879
204,85,0.8705882352941177
205,82,1.0
206,92,1.0
207,80,0.825
208,76,1.0
209,85,1.0
210,83,1.0
211,88,0.8977272727272727
212,83,1.0
213,88,1.0
214,81,1.0
215,78,0.9102564102564102
216,88,1.0
217,86,1.0
218,89,0.9887640449438202
219,82,0.9024390243902439
220,78,1.0
221,94,0.9042553191489362
222,82,1.0
223,82,0.9146341463414634
224,80,0.9
225,79,1.0
226,84,1.0
227,84,1.0
228,89,1.0
229,85,1.0
230,85,1.0
231,88,0.9431818181818182
232,84,1.0
233,81,0.8395061728395061
234,87,1.0
235,86,1.0
236,79,1.0
237,85,1.0
238,87,1.0
239,86,1.0
240,87,1.0
241,87,1.0
242,80,1.0
243,73,1.0
244,79,1.0
245,77,1.0
246,84,1.0
247,79,1.0
248,88,1.0
249,84,1.0
250,81,1.0
251,90,1.0
252,82,1.0
253,87,1.0
254,81,1.0
255,81,0.9135802469135802
256,83,1.0
257,83,1.0
258,92,1.0
259,78,1.0
260,77,1.0
261,81,1.0
262,94,1.0
263,82,1.0
264,90,1.0
265,83,1.0
266,84,1.0
267,84,1.0
268,88,1.0
269,87,1.0
270,91,1.0
271,81,1.0
272,76,0.7894736842105263
273,84,0.7738095238095238
274,88,1.0
275,74,0.9594594594594594
276,88,1.0
277,88,1.0
278,83,1.0
279,80,1.0
280,88,1.0
281,87,1.0
282,89,1.0
283,79,1.0
284,87,1.0
285,86,1.0
286,86,1.0
287,82,1.0
288,90,0.9111111111111111
289,79,0.7721518987341772
290,76,1.0
291,79,1.0
292,79,1.0
293,84,1.0
294,86,1.0
295,88,1.0
296,88,0.48863636363636365
297,81,1.0
298,78,1.0
299,84,0.7738095238095238
300,82,1.0
301,84,1.0
302,90,1.0
303,87,1.0
304,82,1.0
305,78,1.0
306,87,1.0
307,91,1.0
308,89,1.0
309,85,0.8470588235294118
310,83,1.0
311,85,1.0
312,84,1.0
313,83,1.0
314,78,1.0
315,75,1.0
316,85,1.0
317,89,1.0
318,85,1.0
319,87,0.9310344827586207
320,93,0.9247311827956989
321,76,0.7763157894736842
322,87,1.0
323,92,1.0
324,86,1.0
325,80,0.9375
326,89,0.8089887640449438
327,83,1.0
328,79,1.0
329,85,1.0
330,87,1.0
331,72,0.9861111111111112
332,88,1.0
333,86,1.0
334,88,1.0
335,87,1.0
336,79,1.0
337,81,1.0
338,84,1.0
339,88,1.0
340,83,1.0
341,78,1.0
342,93,1.0
343,89,1.0
344,75,0.84
345,87,1.0
346,87,1.0
347,91,0.7692307692307693
348,84,1.0
349,97,1.0
350,84,1.0
351,79,1.0
352,93,1.0
353,90,1.0
354,80,1.0
355,82,1.0
