respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
292,1,0,1,0,2,3,2.300000,1.800000,2,3,4,3
293,1,0,1,0,1,4.384615,4.400000,2.100000,3.750000,4,4,3
294,2,1,1,0,1,4.230769,3.900000,4.200000,4,4,3,2
295,1,1,1,0,2,4.307692,4.200000,4,4,4,4,3
296,2,0,1,0,1,3.846154,4.100000,4.200000,4.250000,4,3,3
297,1,0,1,0,1,3.846154,4.100000,1.800000,4.500000,4,4,2
298,1,0,1,0,1,4.307692,3.700000,4.500000,3.750000,4,4,3
299,1,1,1,0,1,4.307692,3.900000,4.200000,3.750000,4,4,3
300,2,0,1,0,2,3.615385,3.800000,1.800000,4,4,3,3
301,1,0,0,0,1,3,4.200000,2,4.250000,4,3,2
302,1,0,1,0,2,4.076923,4.400000,4,2.750000,4,4,2
303,1,0,1,0,2,3.615385,4,2.400000,4.250000,3,3,3
304,2,1,1,0,1,3.769231,4.200000,3.800000,5,4,3,3
305,2,0,1,0,1,3.692308,4.100000,1.900000,4.250000,4,3,3
306,2,0,1,0,1,4.076923,4.200000,2.100000,4.500000,4,4,3
307,1,0,1,0,2,4.384615,4.600000,4.300000,4,4,4,3
308,1,0,1,0,1,2.692308,3.900000,3.900000,3.250000,4,4,3
309,1,0,1,0,2,4.538462,4.300000,3.800000,3.500000,4,4,2
310,1,0,0,0,1,2,2,1.600000,2,4,3,3
311,1,0,1,0,1,4,4.200000,4,4,4,4,2
312,1,1,1,0,1,4.076923,3.900000,3.900000,2.250000,4,4,2
313,1,0,1,0,1,3.461538,2.500000,4.200000,4.500000,4,4,2
314,1,0,1,0,1,3.846154,2.400000,2.200000,4.750000,4,3,2
315,2,1,1,0,1,3.923077,1.800000,4.500000,4.500000,4,4,3
316,2,0,1,0,1,4,4,4.300000,4.250000,4,4,3
317,1,0,1,0,1,4.153846,3.900000,3.900000,4.750000,4,4,3
318,1,1,1,0,1,4,4,4.200000,4.250000,4,4,3
319,1,0,1,0,1,4.615385,4,4.100000,2.250000,4,4,3
320,1,0,1,0,2,3.769231,4.400000,4.200000,1.750000,4,4,3
321,1,0,1,0,2,4,4.200000,3.600000,3.750000,4,4,3
322,2,0,1,0,2,4.153846,4.100000,4.100000,4.750000,3,4,2
323,1,0,1,0,2,3.538462,4.200000,4.200000,4.500000,4,4,3
324,1,0,1,0,1,3.461538,3.800000,4.300000,4,4,4,2
325,1,0,1,0,2,4.230769,4.200000,4,4,4,4,3
326,1,0,1,0,1,2.692308,1.800000,2.400000,3.750000,4,3,3
327,1,1,1,0,2,4,4,3.900000,4,3,3,3
328,2,0,1,0,2,3.769231,4.300000,3.900000,4,4,4,3
329,1,0,1,0,1,4.307692,4.100000,3.800000,4.750000,4,4,3
330,1,0,1,0,1,4.307692,4.600000,4.200000,3.750000,4,4,2
331,2,1,1,0,2,4.076923,4.400000,4.400000,3.750000,4,4,3
332,1,0,0,0,1,2,1.900000,1.900000,2.250000,4,4,3
333,1,0,1,0,1,4.307692,3.800000,4.200000,4.250000,4,4,2
334,1,0,1,0,1,4.615385,4.200000,4.500000,4.250000,4,3,2
335,1,1,1,0,2,4.307692,4.400000,4.100000,4.250000,3,4,3
336,1,1,0,0,1,2.692308,2.300000,2.300000,2.250000,4,4,3
337,2,0,1,0,2,3.230769,4.200000,2,4.500000,4,3,2
338,1,0,1,0,2,4.153846,4.400000,4.300000,4,4,4,2
339,1,0,1,0,1,2.692308,1.800000,2.100000,2.750000,4,4,3
340,1,0,1,0,2,4.076923,4.200000,4.400000,4.750000,4,4,3
341,1,1,1,0,2,4.153846,4.200000,4.100000,4,4,4,3
342,1,0,1,0,1,4.230769,3.600000,4,4,4,4,2
343,1,0,1,0,1,3.538462,4.400000,4.200000,4.250000,4,3,2
344,1,0,1,0,1,4.076923,4.200000,4.200000,4,4,4,2
345,1,0,1,0,1,3.846154,3.900000,4.500000,4,4,4,2
346,1,0,1,0,1,4.538462,4,4.200000,3.750000,4,4,2
347,1,0,1,0,1,4.461538,4.500000,4.200000,4.500000,4,4,2
348,1,0,1,0,2,4.153846,4.100000,4.200000,4,3,4,3
349,2,1,1,0,2,4.230769,4.200000,4.200000,4,3,4,3
350,2,0,1,0,1,3.307692,4.400000,3.900000,4,4,4,3
351,1,0,1,0,2,4.230769,3.700000,4.200000,4,3,4,3
352,1,1,1,0,1,3.923077,4.300000,4.100000,2.750000,4,4,3
353,1,1,1,0,1,4.076923,4.100000,3.700000,4.250000,4,4,2
354,1,0,1,0,1,4.230769,1.800000,4.400000,3.750000,4,4,3
355,1,0,1,0,2,4.153846,1.700000,4,4.250000,3,4,2
356,1,1,1,0,1,4.230769,4.400000,4.500000,4.250000,4,4,3
357,2,1,1,0,1,4.153846,4,1.800000,4.250000,4,4,2
358,1,1,1,0,1,3.307692,2.100000,1.800000,4.500000,4,3,2
359,1,0,0,0,2,2.461538,3.600000,4.200000,4.250000,3,4,3
360,1,0,1,0,2,4.153846,4.100000,4.100000,4.250000,4,4,3
361,1,1,1,0,2,4.538462,4.200000,4.500000,4.250000,4,4,2
362,2,0,1,0,2,4.230769,4.400000,4,4.500000,3,4,3
