feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
enhanced,zscore,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,2.5457142857142863,3,0.46708610687820007,0.1117094069299388,C1=0.200|C2=0.440|C3=0.357|C4=0.327,0,1
enhanced,zscore,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,42.29820091732681,3,3.4680811584169803e-09,0.19649100458663404,C1=2.600|C2=3.800|C3=1.929|C4=2.027,1,0
enhanced,zscore,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,30.677845070807816,3,9.937213364220892e-07,0.13838922535403908,C1=2.333|C2=3.440|C3=2.571|C4=2.107,1,0
enhanced,robust,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,88.75107255026614,1,4.477546036899111e-21,0.10215491565805139,C1=2.070|C2=3.094,1,1
enhanced,robust,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,70.99789883710166,1,3.5760553178840545e-17,0.08148765871606713,C1=2.087|C2=3.029,1,1
enhanced,robust,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,1.525054068213265,1,0.2168562613168936,0.04817923898130558,C1=0.678|C2=0.733,0,1
enhanced,robust,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,2.268879016926742,1,0.13199534600157634,0.058765574274634746,C1=0.420|C2=0.348,0,1
enhanced,robust,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,4.087138417635506,1,0.04321074073988989,0.07887275089369955,C1=0.533|C2=0.630,1,1
enhanced,robust,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,3.04485785694099,1,0.08099320593490167,0.06807706548213606,C1=0.607|C2=0.689,0,1
enhanced,robust,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,59.72608573281434,1,1.0902189118927963e-14,0.08965814615696846,C1=2.077|C2=3.022,1,0
enhanced,robust,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,46.53378394395856,1,9.005240199925625e-12,0.06951722739535658,C1=2.075|C2=2.978,1,0
enhanced,robust,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.09381158849034321,1,0.7593863077576244,0.021444363546019248,C1=0.583|C2=0.556,0,1
enhanced,robust,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.3034500485520074,1,0.5817275906578065,0.038568124636803855,C1=0.411|C2=0.361,0,1
enhanced,robust,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,2.4285714285714284,1,0.11914143101997093,0.10910894511799618,C1=0.310|C2=0.444,0,1
