row_index,included_runs,consistency_rate
795,84,1.0
796,85,1.0
797,85,0.9176470588235294
798,81,1.0
799,80,0.9375
800,79,0.8987341772151899
801,90,1.0
802,72,1.0
803,86,1.0
804,85,1.0
805,79,1.0
806,89,1.0
807,79,0.6455696202531646
808,80,1.0
809,78,1.0
810,94,1.0
811,79,1.0
812,81,1.0
813,82,1.0
814,83,1.0
815,82,1.0
816,85,1.0
817,82,1.0
818,89,1.0
819,86,1.0
820,79,1.0
821,86,1.0
822,82,1.0
823,84,1.0
824,89,1.0
825,85,1.0
826,86,1.0
827,83,1.0
828,81,1.0
829,94,1.0
830,78,1.0
831,86,1.0
832,80,1.0
833,80,1.0
834,92,1.0
835,83,1.0
836,83,1.0
837,92,1.0
838,95,1.0
839,87,1.0
840,84,1.0
841,84,1.0
842,84,1.0
843,91,1.0
844,95,1.0
845,81,1.0
846,79,1.0
847,70,1.0
848,83,1.0
849,72,1.0
850,72,1.0
851,84,1.0
852,96,1.0
853,85,1.0
854,98,1.0
855,83,1.0
856,98,1.0
857,91,1.0
858,81,1.0
859,81,1.0
860,81,1.0
