respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,invalid_union_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
321,1,1,1,0,0,2,4.153846,4.400000,4.300000,4.250000,4,4,3
322,2,0,1,0,0,1,3.692308,3.800000,3.900000,4,4,4,3
323,1,1,1,0,0,1,4.230769,4.200000,4.300000,4,3,4,2
324,2,0,1,0,0,1,3.769231,4,4.100000,4.500000,4,4,3
325,1,0,1,0,0,1,4.153846,1.700000,4,4.250000,3,4,2
326,1,0,1,0,0,1,4.076923,2.400000,2.100000,4.500000,3,4,3
327,2,1,1,0,0,2,2.615385,2,2.100000,2.500000,4,3,3
328,1,0,1,0,0,2,4.153846,3.900000,3.900000,4.750000,4,4,3
329,2,0,0,0,0,2,1.923077,2.200000,1.300000,2.750000,3,4,2
330,1,1,1,0,0,1,3.692308,4.200000,4.100000,3.750000,4,4,3
331,1,0,1,0,0,2,4.615385,4.800000,5,4.750000,4,4,3
332,1,0,1,0,0,1,2.769231,2,2.300000,1.750000,4,3,3
333,1,0,1,0,0,2,2.076923,2.300000,2.200000,2.500000,4,4,3
334,1,0,1,0,0,2,4.153846,2.200000,3.800000,4.250000,4,4,2
335,2,1,1,0,0,1,3.692308,2,4.100000,2,4,3,3
336,1,0,1,0,0,2,4.153846,4.300000,2.400000,4,4,4,3
337,1,0,1,0,0,2,4.384615,4,4.300000,4.500000,4,4,3
338,2,1,1,0,0,2,4.307692,4.100000,4,4.750000,3,4,2
339,1,1,1,0,0,1,4.384615,4.200000,3.900000,4.250000,4,4,2
340,1,0,1,0,0,2,3.461538,2.500000,4.200000,4.500000,4,4,2
341,1,1,1,0,0,2,3.692308,4.300000,4.100000,4.750000,4,3,2
342,1,0,1,0,0,2,4.076923,4.100000,3.500000,4.250000,4,4,3
343,1,0,1,0,0,2,4.307692,1.900000,4.100000,4.250000,4,4,3
344,2,1,1,0,0,2,4,4.400000,4,5,4,4,2
345,1,0,1,0,0,2,4.384615,2.100000,4,3.750000,4,3,2
346,1,1,1,0,0,1,3.307692,4.100000,4.400000,3.500000,4,3,3
347,1,1,1,0,0,1,4.076923,4.200000,4.100000,3.750000,4,4,2
348,1,1,1,0,0,1,4.307692,2.300000,4.500000,1.750000,4,4,3
349,1,0,1,0,0,1,4.230769,4.100000,2.500000,4,4,3,3
350,1,1,0,0,0,1,3.692308,4.200000,4.100000,3.500000,4,4,3
351,1,0,1,0,0,2,3.615385,4.100000,4.100000,3.750000,4,3,3
352,1,0,1,0,0,2,3.846154,4.100000,4.200000,3.500000,4,4,3
353,1,0,1,0,0,2,3.307692,4,4.300000,4,4,3,2
354,1,0,1,0,0,2,3.923077,4.400000,4.300000,2.250000,4,3,3
355,1,0,1,0,0,2,4.307692,4.600000,4.200000,3.750000,4,4,2
